"","V1"
"ha70a_2","na - interviewer that took blood for hiv testing"
"ha70a_3","na - interviewer that took blood for hiv testing"
"ha70a_4","na - interviewer that took blood for hiv testing"
"ha70a_5","na - interviewer that took blood for hiv testing"
"ha70a_6","na - interviewer that took blood for hiv testing"
"ha70a_7","na - interviewer that took blood for hiv testing"
"ha70a_8","na - interviewer that took blood for hiv testing"
"ha70a_9","na - interviewer that took blood for hiv testing"
"ha70_1","height/age standard deviation (new who) (women age 15-19)"
"ha70_2","height/age standard deviation (new who) (women age 15-19)"
"ha70_3","height/age standard deviation (new who) (women age 15-19)"
"ha70_4","height/age standard deviation (new who) (women age 15-19)"
"ha70_5","height/age standard deviation (new who) (women age 15-19)"
"ha70_6","height/age standard deviation (new who) (women age 15-19)"
"ha70_7","height/age standard deviation (new who) (women age 15-19)"
"ha70_8","height/age standard deviation (new who) (women age 15-19)"
"ha70_9","height/age standard deviation (new who) (women age 15-19)"
"ha73_1","bmi/age standard deviation (new who) (women age 15-19)"
"ha73_2","bmi/age standard deviation (new who) (women age 15-19)"
"ha73_3","bmi/age standard deviation (new who) (women age 15-19)"
"ha73_4","bmi/age standard deviation (new who) (women age 15-19)"
"ha73_5","bmi/age standard deviation (new who) (women age 15-19)"
"ha73_6","bmi/age standard deviation (new who) (women age 15-19)"
"ha73_7","bmi/age standard deviation (new who) (women age 15-19)"
"ha73_8","bmi/age standard deviation (new who) (women age 15-19)"
"ha73_9","bmi/age standard deviation (new who) (women age 15-19)"
"wbp1h_1","first blood pressure reading (hour) - cs"
"wbp1h_2","first blood pressure reading (hour) - cs"
"wbp1h_3","first blood pressure reading (hour) - cs"
"wbp1h_4","first blood pressure reading (hour) - cs"
"wbp1h_5","first blood pressure reading (hour) - cs"
"wbp1h_6","first blood pressure reading (hour) - cs"
"wbp1h_7","first blood pressure reading (hour) - cs"
"wbp1h_8","first blood pressure reading (hour) - cs"
"wbp1h_9","first blood pressure reading (hour) - cs"
"wbp1m_1","first blood pressure reading (minutes)"
"wbp1m_2","first blood pressure reading (minutes)"
"wbp1m_3","first blood pressure reading (minutes)"
"wbp1m_4","first blood pressure reading (minutes)"
"wbp1m_5","first blood pressure reading (minutes)"
"wbp1m_6","first blood pressure reading (minutes)"
"wbp1m_7","first blood pressure reading (minutes)"
"wbp1m_8","first blood pressure reading (minutes)"
"wbp1m_9","first blood pressure reading (minutes)"
"wbp2_1","consent for first blood pressure reading"
"wbp2_2","consent for first blood pressure reading"
"wbp2_3","consent for first blood pressure reading"
"wbp2_4","consent for first blood pressure reading"
"wbp2_5","consent for first blood pressure reading"
"wbp2_6","consent for first blood pressure reading"
"wbp2_7","consent for first blood pressure reading"
"wbp2_8","consent for first blood pressure reading"
"wbp2_9","consent for first blood pressure reading"
"wbp3_1","last 30 minutes have you: eaten anything"
"wbp3_2","last 30 minutes have you: eaten anything"
"wbp3_3","last 30 minutes have you: eaten anything"
"wbp3_4","last 30 minutes have you: eaten anything"
"wbp3_5","last 30 minutes have you: eaten anything"
"wbp3_6","last 30 minutes have you: eaten anything"
"wbp3_7","last 30 minutes have you: eaten anything"
"wbp3_8","last 30 minutes have you: eaten anything"
"wbp3_9","last 30 minutes have you: eaten anything"
"wbp4_1","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"wbp4_2","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"wbp4_3","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"wbp4_4","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"wbp4_5","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"wbp4_6","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"wbp4_7","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"wbp4_8","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"wbp4_9","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"wbp5_1","last 30 minutes have you: smoked any tobacco products"
"wbp5_2","last 30 minutes have you: smoked any tobacco products"
"wbp5_3","last 30 minutes have you: smoked any tobacco products"
"wbp5_4","last 30 minutes have you: smoked any tobacco products"
"wbp5_5","last 30 minutes have you: smoked any tobacco products"
"wbp5_6","last 30 minutes have you: smoked any tobacco products"
"wbp5_7","last 30 minutes have you: smoked any tobacco products"
"wbp5_8","last 30 minutes have you: smoked any tobacco products"
"wbp5_9","last 30 minutes have you: smoked any tobacco products"
"wbp6_1","last 30 minutes have you: exercised with intensity"
"wbp6_2","last 30 minutes have you: exercised with intensity"
"wbp6_3","last 30 minutes have you: exercised with intensity"
"wbp6_4","last 30 minutes have you: exercised with intensity"
"wbp6_5","last 30 minutes have you: exercised with intensity"
"wbp6_6","last 30 minutes have you: exercised with intensity"
"wbp6_7","last 30 minutes have you: exercised with intensity"
"wbp6_8","last 30 minutes have you: exercised with intensity"
"wbp6_9","last 30 minutes have you: exercised with intensity"
"wbp7_1","arm circumference in centimeters"
"wbp7_2","arm circumference in centimeters"
"wbp7_3","arm circumference in centimeters"
"wbp7_4","arm circumference in centimeters"
"wbp7_5","arm circumference in centimeters"
"wbp7_6","arm circumference in centimeters"
"wbp7_7","arm circumference in centimeters"
"wbp7_8","arm circumference in centimeters"
"wbp7_9","arm circumference in centimeters"
"wbp8_1","blood pressure monitor to be used"
"wbp8_2","blood pressure monitor to be used"
"wbp8_3","blood pressure monitor to be used"
"wbp8_4","blood pressure monitor to be used"
"wbp8_5","blood pressure monitor to be used"
"wbp8_6","blood pressure monitor to be used"
"wbp8_7","blood pressure monitor to be used"
"wbp8_8","blood pressure monitor to be used"
"wbp8_9","blood pressure monitor to be used"
"wbp9_1","first blood pressure reading: systolic"
"wbp9_2","first blood pressure reading: systolic"
"wbp9_3","first blood pressure reading: systolic"
"wbp9_4","first blood pressure reading: systolic"
"wbp9_5","first blood pressure reading: systolic"
"wbp9_6","first blood pressure reading: systolic"
"wbp9_7","first blood pressure reading: systolic"
"wbp9_8","first blood pressure reading: systolic"
"wbp9_9","first blood pressure reading: systolic"
"wbp10_1","first blood pressure reading: diastolic"
"wbp10_2","first blood pressure reading: diastolic"
"wbp10_3","first blood pressure reading: diastolic"
"wbp10_4","first blood pressure reading: diastolic"
"wbp10_5","first blood pressure reading: diastolic"
"wbp10_6","first blood pressure reading: diastolic"
"wbp10_7","first blood pressure reading: diastolic"
"wbp10_8","first blood pressure reading: diastolic"
"wbp10_9","first blood pressure reading: diastolic"
"wbp11h_1","second blood pressure reading (hour)"
"wbp11h_2","second blood pressure reading (hour)"
"wbp11h_3","second blood pressure reading (hour)"
"wbp11h_4","second blood pressure reading (hour)"
"wbp11h_5","second blood pressure reading (hour)"
"wbp11h_6","second blood pressure reading (hour)"
"wbp11h_7","second blood pressure reading (hour)"
"wbp11h_8","second blood pressure reading (hour)"
"wbp11h_9","second blood pressure reading (hour)"
"wbp11m_1","second blood pressure reading (minutes)"
"wbp11m_2","second blood pressure reading (minutes)"
"wbp11m_3","second blood pressure reading (minutes)"
"wbp11m_4","second blood pressure reading (minutes)"
"wbp11m_5","second blood pressure reading (minutes)"
"wbp11m_6","second blood pressure reading (minutes)"
"wbp11m_7","second blood pressure reading (minutes)"
"wbp11m_8","second blood pressure reading (minutes)"
"wbp11m_9","second blood pressure reading (minutes)"
"wbp12_1","consent for second blood pressure reading"
"wbp12_2","consent for second blood pressure reading"
"wbp12_3","consent for second blood pressure reading"
"wbp12_4","consent for second blood pressure reading"
"wbp12_5","consent for second blood pressure reading"
"wbp12_6","consent for second blood pressure reading"
"wbp12_7","consent for second blood pressure reading"
"wbp12_8","consent for second blood pressure reading"
"wbp12_9","consent for second blood pressure reading"
"wbp13_1","second blood pressure reading: systolic"
"wbp13_2","second blood pressure reading: systolic"
"wbp13_3","second blood pressure reading: systolic"
"wbp13_4","second blood pressure reading: systolic"
"wbp13_5","second blood pressure reading: systolic"
"wbp13_6","second blood pressure reading: systolic"
"wbp13_7","second blood pressure reading: systolic"
"wbp13_8","second blood pressure reading: systolic"
"wbp13_9","second blood pressure reading: systolic"
"wbp14_1","second blood pressure reading: diastolic"
"wbp14_2","second blood pressure reading: diastolic"
"wbp14_3","second blood pressure reading: diastolic"
"wbp14_4","second blood pressure reading: diastolic"
"wbp14_5","second blood pressure reading: diastolic"
"wbp14_6","second blood pressure reading: diastolic"
"wbp14_7","second blood pressure reading: diastolic"
"wbp14_8","second blood pressure reading: diastolic"
"wbp14_9","second blood pressure reading: diastolic"
"wbp15_1","ever had blood pressure measured by a doctor/health worker"
"wbp15_2","ever had blood pressure measured by a doctor/health worker"
"wbp15_3","ever had blood pressure measured by a doctor/health worker"
"wbp15_4","ever had blood pressure measured by a doctor/health worker"
"wbp15_5","ever had blood pressure measured by a doctor/health worker"
"wbp15_6","ever had blood pressure measured by a doctor/health worker"
"wbp15_7","ever had blood pressure measured by a doctor/health worker"
"wbp15_8","ever had blood pressure measured by a doctor/health worker"
"wbp15_9","ever had blood pressure measured by a doctor/health worker"
"wbp16_1","ever been diagnosed by doctor/health worker with hypertension"
"wbp16_2","ever been diagnosed by doctor/health worker with hypertension"
"wbp16_3","ever been diagnosed by doctor/health worker with hypertension"
"wbp16_4","ever been diagnosed by doctor/health worker with hypertension"
"wbp16_5","ever been diagnosed by doctor/health worker with hypertension"
"wbp16_6","ever been diagnosed by doctor/health worker with hypertension"
"wbp16_7","ever been diagnosed by doctor/health worker with hypertension"
"wbp16_8","ever been diagnosed by doctor/health worker with hypertension"
"wbp16_9","ever been diagnosed by doctor/health worker with hypertension"
"wbp17_1","last 12 months have been diagnosed by doctor/health worker with hypertension"
"wbp17_2","last 12 months have been diagnosed by doctor/health worker with hypertension"
"wbp17_3","last 12 months have been diagnosed by doctor/health worker with hypertension"
"wbp17_4","last 12 months have been diagnosed by doctor/health worker with hypertension"
"wbp17_5","last 12 months have been diagnosed by doctor/health worker with hypertension"
"wbp17_6","last 12 months have been diagnosed by doctor/health worker with hypertension"
"wbp17_7","last 12 months have been diagnosed by doctor/health worker with hypertension"
"wbp17_8","last 12 months have been diagnosed by doctor/health worker with hypertension"
"wbp17_9","last 12 months have been diagnosed by doctor/health worker with hypertension"
"wbp18_1","has a doctor/health worker prescribed medication to control blood pressure"
"wbp18_2","has a doctor/health worker prescribed medication to control blood pressure"
"wbp18_3","has a doctor/health worker prescribed medication to control blood pressure"
"wbp18_4","has a doctor/health worker prescribed medication to control blood pressure"
"wbp18_5","has a doctor/health worker prescribed medication to control blood pressure"
"wbp18_6","has a doctor/health worker prescribed medication to control blood pressure"
"wbp18_7","has a doctor/health worker prescribed medication to control blood pressure"
"wbp18_8","has a doctor/health worker prescribed medication to control blood pressure"
"wbp18_9","has a doctor/health worker prescribed medication to control blood pressure"
"wbp19_1","is respondent taken medication to control blood pressure"
"wbp19_2","is respondent taken medication to control blood pressure"
"wbp19_3","is respondent taken medication to control blood pressure"
"wbp19_4","is respondent taken medication to control blood pressure"
"wbp19_5","is respondent taken medication to control blood pressure"
"wbp19_6","is respondent taken medication to control blood pressure"
"wbp19_7","is respondent taken medication to control blood pressure"
"wbp19_8","is respondent taken medication to control blood pressure"
"wbp19_9","is respondent taken medication to control blood pressure"
"wbp20h_1","third blood pressure reading (hour)"
"wbp20h_2","third blood pressure reading (hour)"
"wbp20h_3","third blood pressure reading (hour)"
"wbp20h_4","third blood pressure reading (hour)"
"wbp20h_5","third blood pressure reading (hour)"
"wbp20h_6","third blood pressure reading (hour)"
"wbp20h_7","third blood pressure reading (hour)"
"wbp20h_8","third blood pressure reading (hour)"
"wbp20h_9","third blood pressure reading (hour)"
"wbp20m_1","third blood pressure reading (minutes)"
"wbp20m_2","third blood pressure reading (minutes)"
"wbp20m_3","third blood pressure reading (minutes)"
"wbp20m_4","third blood pressure reading (minutes)"
"wbp20m_5","third blood pressure reading (minutes)"
"wbp20m_6","third blood pressure reading (minutes)"
"wbp20m_7","third blood pressure reading (minutes)"
"wbp20m_8","third blood pressure reading (minutes)"
"wbp20m_9","third blood pressure reading (minutes)"
"wbp21_1","consent for third blood pressure reading"
"wbp21_2","consent for third blood pressure reading"
"wbp21_3","consent for third blood pressure reading"
"wbp21_4","consent for third blood pressure reading"
"wbp21_5","consent for third blood pressure reading"
"wbp21_6","consent for third blood pressure reading"
"wbp21_7","consent for third blood pressure reading"
"wbp21_8","consent for third blood pressure reading"
"wbp21_9","consent for third blood pressure reading"
"wbp22_1","third blood pressure reading: systolic"
"wbp22_2","third blood pressure reading: systolic"
"wbp22_3","third blood pressure reading: systolic"
"wbp22_4","third blood pressure reading: systolic"
"wbp22_5","third blood pressure reading: systolic"
"wbp22_6","third blood pressure reading: systolic"
"wbp22_7","third blood pressure reading: systolic"
"wbp22_8","third blood pressure reading: systolic"
"wbp22_9","third blood pressure reading: systolic"
"wbp23_1","third blood pressure reading: diastolic"
"wbp23_2","third blood pressure reading: diastolic"
"wbp23_3","third blood pressure reading: diastolic"
"wbp23_4","third blood pressure reading: diastolic"
"wbp23_5","third blood pressure reading: diastolic"
"wbp23_6","third blood pressure reading: diastolic"
"wbp23_7","third blood pressure reading: diastolic"
"wbp23_8","third blood pressure reading: diastolic"
"wbp23_9","third blood pressure reading: diastolic"
"wbp24_1","final blood pressure: systolic"
"wbp24_2","final blood pressure: systolic"
"wbp24_3","final blood pressure: systolic"
"wbp24_4","final blood pressure: systolic"
"wbp24_5","final blood pressure: systolic"
"wbp24_6","final blood pressure: systolic"
"wbp24_7","final blood pressure: systolic"
"wbp24_8","final blood pressure: systolic"
"wbp24_9","final blood pressure: systolic"
"wbp25_1","final blood pressure: diastolic"
"wbp25_2","final blood pressure: diastolic"
"wbp25_3","final blood pressure: diastolic"
"wbp25_4","final blood pressure: diastolic"
"wbp25_5","final blood pressure: diastolic"
"wbp25_6","final blood pressure: diastolic"
"wbp25_7","final blood pressure: diastolic"
"wbp25_8","final blood pressure: diastolic"
"wbp25_9","final blood pressure: diastolic"
"wbp26_1","blood pressure category"
"wbp26_2","blood pressure category"
"wbp26_3","blood pressure category"
"wbp26_4","blood pressure category"
"wbp26_5","blood pressure category"
"wbp26_6","blood pressure category"
"wbp26_7","blood pressure category"
"wbp26_8","blood pressure category"
"wbp26_9","blood pressure category"
"wbp27_1","respondent receive the blood pressure result form"
"wbp27_2","respondent receive the blood pressure result form"
"wbp27_3","respondent receive the blood pressure result form"
"wbp27_4","respondent receive the blood pressure result form"
"wbp27_5","respondent receive the blood pressure result form"
"wbp27_6","respondent receive the blood pressure result form"
"wbp27_7","respondent receive the blood pressure result form"
"wbp27_8","respondent receive the blood pressure result form"
"wbp27_9","respondent receive the blood pressure result form"
"hc0_1","index to household schedule"
"hc0_2","index to household schedule"
"hc0_3","index to household schedule"
"hc0_4","index to household schedule"
"hc0_5","index to household schedule"
"hc0_6","index to household schedule"
"hc1_1","child's age in months"
"hc1_2","child's age in months"
"hc1_3","child's age in months"
"hc1_4","child's age in months"
"hc1_5","child's age in months"
"hc1_6","child's age in months"
"hc1a_1","child's age in days"
"hc1a_2","child's age in days"
"hc1a_3","child's age in days"
"hc1a_4","child's age in days"
"hc1a_5","child's age in days"
"hc1a_6","child's age in days"
"hc2_1","child's weight in kilograms (1 decimal)"
"hc2_2","child's weight in kilograms (1 decimal)"
"hc2_3","child's weight in kilograms (1 decimal)"
"hc2_4","child's weight in kilograms (1 decimal)"
"hc2_5","child's weight in kilograms (1 decimal)"
"hc2_6","child's weight in kilograms (1 decimal)"
"hc2a_1","child's weight in kilograms (1 decimal) - first measurement"
"hc2a_2","child's weight in kilograms (1 decimal) - first measurement"
"hc2a_3","child's weight in kilograms (1 decimal) - first measurement"
"hc2a_4","child's weight in kilograms (1 decimal) - first measurement"
"hc2a_5","child's weight in kilograms (1 decimal) - first measurement"
"hc2a_6","child's weight in kilograms (1 decimal) - first measurement"
"hc2b_1","child's weight in kilograms (1 decimal) - re-measurement"
"hc2b_2","child's weight in kilograms (1 decimal) - re-measurement"
"hc2b_3","child's weight in kilograms (1 decimal) - re-measurement"
"hc2b_4","child's weight in kilograms (1 decimal) - re-measurement"
"hc2b_5","child's weight in kilograms (1 decimal) - re-measurement"
"hc2b_6","child's weight in kilograms (1 decimal) - re-measurement"
"hc3_1","child's height in centimeters (1 decimal)"
"hc3_2","child's height in centimeters (1 decimal)"
"hc3_3","child's height in centimeters (1 decimal)"
"hc3_4","child's height in centimeters (1 decimal)"
"hc3_5","child's height in centimeters (1 decimal)"
"hc3_6","child's height in centimeters (1 decimal)"
"hc3a_1","child's height in centimeters (1 decimal) - first measurement"
"hc3a_2","child's height in centimeters (1 decimal) - first measurement"
"hc3a_3","child's height in centimeters (1 decimal) - first measurement"
"hc3a_4","child's height in centimeters (1 decimal) - first measurement"
"hc3a_5","child's height in centimeters (1 decimal) - first measurement"
"hc3a_6","child's height in centimeters (1 decimal) - first measurement"
"hc3b_1","child's height in centimeters (1 decimal) - re-measurement"
"hc3b_2","child's height in centimeters (1 decimal) - re-measurement"
"hc3b_3","child's height in centimeters (1 decimal) - re-measurement"
"hc3b_4","child's height in centimeters (1 decimal) - re-measurement"
"hc3b_5","child's height in centimeters (1 decimal) - re-measurement"
"hc3b_6","child's height in centimeters (1 decimal) - re-measurement"
"hc13_1","result of measurement - height/weight"
"hc13_2","result of measurement - height/weight"
"hc13_3","result of measurement - height/weight"
"hc13_4","result of measurement - height/weight"
"hc13_5","result of measurement - height/weight"
"hc13_6","result of measurement - height/weight"
"hc15_1","height: lying or standing"
"hc15_2","height: lying or standing"
"hc15_3","height: lying or standing"
"hc15_4","height: lying or standing"
"hc15_5","height: lying or standing"
"hc15_6","height: lying or standing"
"hc15a_1","height: lying or standing - first measurement"
"hc15a_2","height: lying or standing - first measurement"
"hc15a_3","height: lying or standing - first measurement"
"hc15a_4","height: lying or standing - first measurement"
"hc15a_5","height: lying or standing - first measurement"
"hc15a_6","height: lying or standing - first measurement"
"hc15b_1","height: lying or standing - re-measurement"
"hc15b_2","height: lying or standing - re-measurement"
"hc15b_3","height: lying or standing - re-measurement"
"hc15b_4","height: lying or standing - re-measurement"
"hc15b_5","height: lying or standing - re-measurement"
"hc15b_6","height: lying or standing - re-measurement"
"hc16_1","day of birth"
"hc16_2","day of birth"
"hc16_3","day of birth"
"hc16_4","day of birth"
"hc16_5","day of birth"
"hc16_6","day of birth"
"hc17_1","date measured (day)"
"hc17_2","date measured (day)"
"hc17_3","date measured (day)"
"hc17_4","date measured (day)"
"hc17_5","date measured (day)"
"hc17_6","date measured (day)"
"hc18_1","date measured (month)"
"hc18_2","date measured (month)"
"hc18_3","date measured (month)"
"hc18_4","date measured (month)"
"hc18_5","date measured (month)"
"hc18_6","date measured (month)"
"hc19_1","date measured (year)"
"hc19_2","date measured (year)"
"hc19_3","date measured (year)"
"hc19_4","date measured (year)"
"hc19_5","date measured (year)"
"hc19_6","date measured (year)"
"hc20_1","century day code (cdc) of measurement"
"hc20_2","century day code (cdc) of measurement"
"hc20_3","century day code (cdc) of measurement"
"hc20_4","century day code (cdc) of measurement"
"hc20_5","century day code (cdc) of measurement"
"hc20_6","century day code (cdc) of measurement"
"hc21_1","fieldworker measurer code for anthropometry"
"hc21_2","fieldworker measurer code for anthropometry"
"hc21_3","fieldworker measurer code for anthropometry"
"hc21_4","fieldworker measurer code for anthropometry"
"hc21_5","fieldworker measurer code for anthropometry"
"hc21_6","fieldworker measurer code for anthropometry"
"hc21a_1","fieldworker assistant measurer code for anthropometry"
"hc21a_2","fieldworker assistant measurer code for anthropometry"
"hc21a_3","fieldworker assistant measurer code for anthropometry"
"hc21a_4","fieldworker assistant measurer code for anthropometry"
"hc21a_5","fieldworker assistant measurer code for anthropometry"
"hc21a_6","fieldworker assistant measurer code for anthropometry"
"hc21b_1","fieldworker measurer code for hemoglobin"
"hc21b_2","fieldworker measurer code for hemoglobin"
"hc21b_3","fieldworker measurer code for hemoglobin"
"hc21b_4","fieldworker measurer code for hemoglobin"
"hc21b_5","fieldworker measurer code for hemoglobin"
"hc21b_6","fieldworker measurer code for hemoglobin"
"hc22_1","child minimally dressed"
"hc22_2","child minimally dressed"
"hc22_3","child minimally dressed"
"hc22_4","child minimally dressed"
"hc22_5","child minimally dressed"
"hc22_6","child minimally dressed"
"hc23_1","correct measurement procedure used"
"hc23_2","correct measurement procedure used"
"hc23_3","correct measurement procedure used"
"hc23_4","correct measurement procedure used"
"hc23_5","correct measurement procedure used"
"hc23_6","correct measurement procedure used"
"hc24_1","child's hair had braids or ornaments"
"hc24_2","child's hair had braids or ornaments"
"hc24_3","child's hair had braids or ornaments"
"hc24_4","child's hair had braids or ornaments"
"hc24_5","child's hair had braids or ornaments"
"hc24_6","child's hair had braids or ornaments"
"hc27_1","sex"
"hc27_2","sex"
"hc27_3","sex"
"hc27_4","sex"
"hc27_5","sex"
"hc27_6","sex"
"hc30_1","month of birth"
"hc30_2","month of birth"
"hc30_3","month of birth"
"hc30_4","month of birth"
"hc30_5","month of birth"
"hc30_6","month of birth"
"hc31_1","year of birth"
"hc31_2","year of birth"
"hc31_3","year of birth"
"hc31_4","year of birth"
"hc31_5","year of birth"
"hc31_6","year of birth"
"hc32_1","date of birth (cmc)"
"hc32_2","date of birth (cmc)"
"hc32_3","date of birth (cmc)"
"hc32_4","date of birth (cmc)"
"hc32_5","date of birth (cmc)"
"hc32_6","date of birth (cmc)"
"hc32a_1","century day code (cdc) of birth"
"hc32a_2","century day code (cdc) of birth"
"hc32a_3","century day code (cdc) of birth"
"hc32a_4","century day code (cdc) of birth"
"hc32a_5","century day code (cdc) of birth"
"hc32a_6","century day code (cdc) of birth"
"hc33_1","completeness of hc32 information"
"hc33_2","completeness of hc32 information"
"hc33_3","completeness of hc32 information"
"hc33_4","completeness of hc32 information"
"hc33_5","completeness of hc32 information"
"hc33_6","completeness of hc32 information"
"hc35_1","reason for re-measurement"
"hc35_2","reason for re-measurement"
"hc35_3","reason for re-measurement"
"hc35_4","reason for re-measurement"
"hc35_5","reason for re-measurement"
"hc35_6","reason for re-measurement"
"hc51_1","line number of parent/caretaker"
"hc51_2","line number of parent/caretaker"
"hc51_3","line number of parent/caretaker"
"hc51_4","line number of parent/caretaker"
"hc51_5","line number of parent/caretaker"
"hc51_6","line number of parent/caretaker"
"hc52_1","read consent statement - hemoglobin"
"hc52_2","read consent statement - hemoglobin"
"hc52_3","read consent statement - hemoglobin"
"hc52_4","read consent statement - hemoglobin"
"hc52_5","read consent statement - hemoglobin"
"hc52_6","read consent statement - hemoglobin"
"hc53_1","hemoglobin level (g/dl - 1 decimal)"
"hc53_2","hemoglobin level (g/dl - 1 decimal)"
"hc53_3","hemoglobin level (g/dl - 1 decimal)"
"hc53_4","hemoglobin level (g/dl - 1 decimal)"
"hc53_5","hemoglobin level (g/dl - 1 decimal)"
"hc53_6","hemoglobin level (g/dl - 1 decimal)"
"hc55_1","result of measurement - hemoglobin"
"hc55_2","result of measurement - hemoglobin"
"hc55_3","result of measurement - hemoglobin"
"hc55_4","result of measurement - hemoglobin"
"hc55_5","result of measurement - hemoglobin"
"hc55_6","result of measurement - hemoglobin"
"hc56_1","hemoglobin level adjusted for altitude (g/dl - 1 decimal)"
"hc56_2","hemoglobin level adjusted for altitude (g/dl - 1 decimal)"
"hc56_3","hemoglobin level adjusted for altitude (g/dl - 1 decimal)"
"hc56_4","hemoglobin level adjusted for altitude (g/dl - 1 decimal)"
"hc56_5","hemoglobin level adjusted for altitude (g/dl - 1 decimal)"
"hc56_6","hemoglobin level adjusted for altitude (g/dl - 1 decimal)"
"hc57_1","anemia level"
"hc57_2","anemia level"
"hc57_3","anemia level"
"hc57_4","anemia level"
"hc57_5","anemia level"
"hc57_6","anemia level"
"hc58_1","na - agrees to referral - anemia"
"hc58_2","na - agrees to referral - anemia"
"hc58_3","na - agrees to referral - anemia"
"hc58_4","na - agrees to referral - anemia"
"hc58_5","na - agrees to referral - anemia"
"hc58_6","na - agrees to referral - anemia"
"hc60_1","mother's line number (woman's questionnaire)"
"hc60_2","mother's line number (woman's questionnaire)"
"hc60_3","mother's line number (woman's questionnaire)"
"hc60_4","mother's line number (woman's questionnaire)"
"hc60_5","mother's line number (woman's questionnaire)"
"hc60_6","mother's line number (woman's questionnaire)"
"hc61_1","mother's highest educational level"
"hc61_2","mother's highest educational level"
"hc61_3","mother's highest educational level"
"hc61_4","mother's highest educational level"
"hc61_5","mother's highest educational level"
"hc61_6","mother's highest educational level"
"hc62_1","mother's highest year of education"
"hc62_2","mother's highest year of education"
"hc62_3","mother's highest year of education"
"hc62_4","mother's highest year of education"
"hc62_5","mother's highest year of education"
"hc62_6","mother's highest year of education"
"hc63_1","preceding birth interval (months)"
"hc63_2","preceding birth interval (months)"
"hc63_3","preceding birth interval (months)"
"hc63_4","preceding birth interval (months)"
"hc63_5","preceding birth interval (months)"
"hc63_6","preceding birth interval (months)"
"hc64_1","birth order number"
"hc64_2","birth order number"
"hc64_3","birth order number"
"hc64_4","birth order number"
"hc64_5","birth order number"
"hc64_6","birth order number"
"hc68_1","mother's highest educational level (cs for preliminary & final report)"
"hc68_2","mother's highest educational level (cs for preliminary & final report)"
"hc68_3","mother's highest educational level (cs for preliminary & final report)"
"hc68_4","mother's highest educational level (cs for preliminary & final report)"
"hc68_5","mother's highest educational level (cs for preliminary & final report)"
"hc68_6","mother's highest educational level (cs for preliminary & final report)"
"hc70_1","height/age standard deviation (new who)"
"hc70_2","height/age standard deviation (new who)"
"hc70_3","height/age standard deviation (new who)"
"hc70_4","height/age standard deviation (new who)"
"hc70_5","height/age standard deviation (new who)"
"hc70_6","height/age standard deviation (new who)"
"hc71_1","weight/age standard deviation (new who)"
"hc71_2","weight/age standard deviation (new who)"
"hc71_3","weight/age standard deviation (new who)"
"hc71_4","weight/age standard deviation (new who)"
"hc71_5","weight/age standard deviation (new who)"
"hc71_6","weight/age standard deviation (new who)"
"hc72_1","weight/height standard deviation (new who)"
"hc72_2","weight/height standard deviation (new who)"
"hc72_3","weight/height standard deviation (new who)"
"hc72_4","weight/height standard deviation (new who)"
"hc72_5","weight/height standard deviation (new who)"
"hc72_6","weight/height standard deviation (new who)"
"hc73_1","bmi standard deviation (new who)"
"hc73_2","bmi standard deviation (new who)"
"hc73_3","bmi standard deviation (new who)"
"hc73_4","bmi standard deviation (new who)"
"hc73_5","bmi standard deviation (new who)"
"hc73_6","bmi standard deviation (new who)"
"hb0_1","index to household schedule"
"hb0_2","index to household schedule"
"hb0_3","index to household schedule"
"hb0_4","index to household schedule"
"hb0_5","index to household schedule"
"hb0_6","index to household schedule"
"hb1_1","man's age in years"
"hb1_2","man's age in years"
"hb1_3","man's age in years"
"hb1_4","man's age in years"
"hb1_5","man's age in years"
"hb1_6","man's age in years"
"hb2_1","man's weight in kilograms (1 decimal)"
"hb2_2","man's weight in kilograms (1 decimal)"
"hb2_3","man's weight in kilograms (1 decimal)"
"hb2_4","man's weight in kilograms (1 decimal)"
"hb2_5","man's weight in kilograms (1 decimal)"
"hb2_6","man's weight in kilograms (1 decimal)"
"hb3_1","man's height in centimeters (1 decimal)"
"hb3_2","man's height in centimeters (1 decimal)"
"hb3_3","man's height in centimeters (1 decimal)"
"hb3_4","man's height in centimeters (1 decimal)"
"hb3_5","man's height in centimeters (1 decimal)"
"hb3_6","man's height in centimeters (1 decimal)"
"hb13_1","result of measurement - height/weight"
"hb13_2","result of measurement - height/weight"
"hb13_3","result of measurement - height/weight"
"hb13_4","result of measurement - height/weight"
"hb13_5","result of measurement - height/weight"
"hb13_6","result of measurement - height/weight"
"hb17_1","date measured (day)"
"hb17_2","date measured (day)"
"hb17_3","date measured (day)"
"hb17_4","date measured (day)"
"hb17_5","date measured (day)"
"hb17_6","date measured (day)"
"hb18_1","date measured (month)"
"hb18_2","date measured (month)"
